track_name,album,artist,popularity,duration_min
She Make It Clap (Freestyle),She Make It Clap (Freestyle),Marty Mula,35,1.6
Bruises,Bruises (Destinations),Fox Stevenson,0,3.68
"All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther The Album Music From And Inspired By,Kendrick Lamar,89,3.87
Not Afraid,Recovery,Eminem,80,4.14
Love The Way You Lie,Recovery,Eminem,87,4.39
Fitzpleasure,Matilda / Fitzpleasure,alt-J,25,3.66
Dirty Paws,My Head Is An Animal,Of Monsters and Men,72,4.64
On The Floor - Radio Edit,On The Floor,Jennifer Lopez,74,3.85
Ceremony,"Body Language, Vol. 24",Monkey Safari,30,7.0
Theo (Der Bananenbrot-Song),Theo (Der Bananenbrot-Song),Beyond,33,1.42
99 Problems,Old Tyme Religion,Hugo,59,2.29
On & On,On & On,Cartoon,75,3.45
Running up That Hill,Running up That Hill,Dayne S,35,5.13
They Don't Care About Us,They Don't Care About Us,Matty Carter + Ariel,51,3.31
Rumble,Quest For Fire,Skrillex,65,2.44
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,71,2.21
Boom Shakalarma,Boom Shakalarma,Braindead,0,3.54
Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,76,4.17
Make It Bun Dem,Make It Bun Dem,Skrillex,67,3.56
Temperature,The Trinity,Sean Paul,83,3.61
MY EYES,UTOPIA,Travis Scott,81,4.19
Earned It (Fifty Shades Of Grey),The Highlights,The Weeknd,78,4.63
From The D 2 The LBC (with Snoop Dogg),Curtain Call 2,Eminem,51,3.56
Without Me,The Eminem Show,Eminem,88,4.84
R.E.D.,We Are the Halluci Nation,The Halluci Nation,49,3.5
Life Is Beautiful,Life Is Beautiful,Thirty Seconds To Mars,36,3.32
Smack That,Konvicted,Akon,85,3.54
I Was Never There,"My Dear Melancholy,",The Weeknd,83,4.02
Party Rock Anthem,Sorry For Party Rocking,LMFAO,75,4.37
Stronger,Graduation,Kanye West,82,5.2
Bad At Love,hopeless fountain kingdom (Deluxe Plus),Halsey,81,3.02
Without Me,Manic,Halsey,84,3.36
Gasoline,BADLANDS (Deluxe),Halsey,73,3.33
Dark Times,Beauty Behind The Madness,The Weeknd,60,4.34
Flashing Lights,Graduation,Kanye West,87,3.96
Run It Up,Run It Up,Hanumankind,65,2.89
Thought I Was Dead (feat. ScHoolboy Q & Santigold),CHROMAKOPIA,"Tyler, The Creator",73,3.45
Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,82,3.83
"The Hanging Tree - From ""The Hunger Games: Mockingjay"" Soundtraclk",The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score),James Newton Howard,70,3.64
Devil Eyes,Providence,Hippie Sabotage,77,2.19
Die With A Smile,MAYHEM,Lady Gaga,87,4.19
GDFR (feat. Sage the Gemini & Lookas),My House,Flo Rida,72,3.17
Crazy In Love - Remix,Crazy In Love (Remix),Beyoncé,68,3.77
Players,Players,Coi Leray,69,2.33
Boss Bitch,Boss Bitch,Doja Cat,74,2.24
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,92,4.08
I See Red,I See Red,Everybody Loves an Outlaw,76,3.84
Not Like Us,Not Like Us,Kendrick Lamar,87,4.57
Be Kind,Manic,Marshmello,47,2.88
Movements,Movements - Single,Pham,1,3.48
NEXTBOT!,NEXTBOT!,HAARPER,53,1.51
+44 SMOKE,+44 SMOKE,BVDLVD,50,2.45
In The Dark,"The Occult Series, Vol. 2",Bleed The Wicked Menace,53,1.12
Hadal Ahbek,Hadal Ahbek,Issam Alnajjar,61,3.49
Dancin - Krono Remix,Ibiza 2019,Aaron Smith,73,4.27
Father Ocean - Ben Böhmer Remix,Father Ocean,Monolink,43,7.94
Ransom,We Love You Tecca,Lil Tecca,82,2.19
オトノケ - Otonoke,オトノケ - Otonoke,Creepy Nuts,75,3.09
Luv (sic),Luv(sic) Hexalogy,Nujabes,66,4.77
Underdog,F1 The Album,Roddy Ricch,55,2.37
Lose My Mind (feat. Doja Cat) [From F1® The Movie],Lose My Mind (feat. Doja Cat) [From F1® The Movie],Don Toliver,82,3.48
Sarkari School,Sarkari School,Lil Golya,7,3.07
Bloody Mary,Born This Way (International Special Edition Version),Lady Gaga,79,4.08
I Love It (feat. Charli XCX) - I Don’t Care 2022 Re-Edit,I Love It (feat. Charli XCX) [I Don’t Care 2022 Re-Edit],Icona Pop,46,2.54
Walk Em Down (feat. Roddy Ricch),Top Shotta,NLE Choppa,70,2.89
Beat It,Thriller,Michael Jackson,83,4.3
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,82,3.64
Wow.,Hollywood's Bleeding,Post Malone,78,2.49
Whatever It Takes,Evolve,Imagine Dragons,83,3.35
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,83,3.25
